Date,Open,High,Low,Close,Adj Close,Volume
2023-07-22,0.073295,0.073295,0.070081,0.070433,0.070433,353000261
2023-07-23,0.070435,0.072804,0.070220,0.071819,0.071819,287153173
2023-07-24,0.071812,0.077222,0.070556,0.074268,0.074268,1446707666
2023-07-25,0.074266,0.083341,0.073890,0.081845,0.081845,1525713202
2023-07-26,0.081851,0.082080,0.077259,0.077958,0.077958,846709085
2023-07-27,0.077964,0.079733,0.076916,0.077562,0.077562,515430911
2023-07-28,0.077562,0.077782,0.076201,0.077321,0.077321,370256171
2023-07-29,0.077315,0.081316,0.077077,0.080188,0.080188,466582431
2023-07-30,0.080190,0.080439,0.077039,0.078061,0.078061,436209339
2023-07-31,0.078063,0.079656,0.077100,0.077818,0.077818,346973531
2023-08-01,0.077824,0.078168,0.076043,0.078042,0.078042,369078156
2023-08-02,0.078038,0.078195,0.074100,0.074213,0.074213,364508311
2023-08-03,0.074212,0.074893,0.073053,0.073615,0.073615,374949368
2023-08-04,0.073608,0.074785,0.072795,0.073416,0.073416,307538917
2023-08-05,0.073417,0.076803,0.072998,0.075686,0.075686,443213361
2023-08-06,0.075682,0.076292,0.074200,0.074266,0.074266,311182997
2023-08-07,0.074262,0.075466,0.072370,0.073422,0.073422,346276669
2023-08-08,0.073425,0.075384,0.073210,0.074986,0.074986,305594303
2023-08-09,0.074984,0.076054,0.074463,0.075314,0.075314,347481441
2023-08-10,0.075319,0.076706,0.075158,0.075803,0.075803,341419517
2023-08-11,0.075805,0.075983,0.075167,0.075666,0.075666,222363416
2023-08-12,0.075671,0.077150,0.075602,0.076742,0.076742,301476614
2023-08-13,0.076733,0.076789,0.074473,0.074783,0.074783,271947904
2023-08-14,0.074781,0.076414,0.073952,0.074731,0.074731,347333620
2023-08-15,0.074724,0.074809,0.070512,0.070863,0.070863,400240141
2023-08-16,0.070864,0.071116,0.066807,0.067183,0.067183,409310897
2023-08-17,0.067185,0.068251,0.058340,0.061185,0.061185,684430325
2023-08-18,0.061184,0.063653,0.060196,0.063234,0.063234,488755203
2023-08-19,0.063237,0.064384,0.063209,0.063758,0.063758,246572116
2023-08-20,0.063761,0.064587,0.063623,0.063830,0.063830,208195392
2023-08-21,0.063830,0.063991,0.061365,0.062529,0.062529,277361290
2023-08-22,0.062529,0.063189,0.061075,0.062599,0.062599,271392247
2023-08-23,0.062593,0.064505,0.062514,0.063778,0.063778,293273521
2023-08-24,0.063780,0.064005,0.062226,0.063036,0.063036,210634657
2023-08-25,0.063039,0.063094,0.061898,0.063084,0.063084,202977283
2023-08-26,0.063084,0.063286,0.062723,0.062868,0.062868,127881732
2023-08-27,0.062867,0.063532,0.062757,0.063171,0.063171,141407750
2023-08-28,0.063174,0.063547,0.062211,0.063438,0.063438,169636026
2023-08-29,0.063434,0.068065,0.062542,0.066390,0.066390,445903123
2023-08-30,0.066394,0.066438,0.064675,0.065838,0.065838,260654192
2023-08-31,0.065841,0.066920,0.063085,0.063785,0.063785,336593454
2023-09-01,0.063787,0.064130,0.062595,0.063849,0.063849,238777563
2023-09-02,0.063855,0.064658,0.062961,0.063494,0.063494,208019339
2023-09-03,0.063499,0.063731,0.062928,0.063173,0.063173,163140788
2023-09-04,0.063173,0.063722,0.062457,0.063185,0.063185,181249918
2023-09-05,0.063186,0.064217,0.062908,0.063992,0.063992,209934446
2023-09-06,0.063997,0.064491,0.062825,0.063613,0.063613,208287267
2023-09-07,0.063612,0.063763,0.062857,0.063579,0.063579,164667102
2023-09-08,0.063586,0.063922,0.062680,0.063649,0.063649,162864062
2023-09-09,0.063647,0.063817,0.063328,0.063405,0.063405,108500870
2023-09-10,0.063405,0.063405,0.060845,0.061327,0.061327,240746565
2023-09-11,0.061324,0.061869,0.059486,0.060462,0.060462,259096660
2023-09-12,0.060464,0.062086,0.060448,0.060951,0.060951,231017444
2023-09-13,0.060950,0.061583,0.060641,0.061280,0.061280,191695350
2023-09-14,0.061280,0.062386,0.061156,0.062072,0.062072,189093769
2023-09-15,0.062074,0.062874,0.061515,0.062553,0.062553,155088363
2023-09-16,0.062551,0.062884,0.061930,0.062148,0.062148,144247521
2023-09-17,0.062152,0.062498,0.061286,0.061517,0.061517,156292597
2023-09-18,0.061517,0.062808,0.061144,0.062016,0.062016,207651893
2023-09-19,0.062016,0.063215,0.061974,0.062709,0.062709,198507548
2023-09-20,0.062709,0.063009,0.061965,0.062630,0.062630,187443142
2023-09-21,0.062629,0.063307,0.061282,0.061346,0.061346,518556615
2023-09-22,0.061345,0.061829,0.061054,0.061531,0.061531,144488200
2023-09-23,0.061528,0.061846,0.061378,0.061507,0.061507,117222607
2023-09-24,0.061507,0.061743,0.060702,0.060743,0.060743,115250326
